Comp,BID,UMAP_0,UMAP_1,rg_mean_true,rg_var_true,rg_mean_pred,rg_var_pred,rg_mean_std,rg_var_std
0.15,0.8,11.250781,5.066471,12.877413799625002,8.938124224501292,0.17383895580956427,0.1277818161272819,0.9998837425684747,0.9998837425684747
0.1,0.4,12.843269,2.8897893,13.541903345416666,3.9960493006271345,10.227021522585027,3.3460853980246688,0.5210982508510271,0.5210982508510271
0.2,0.8,12.391927,4.286795,12.385136011458334,4.13792133576265,6.629981758025383,5.425710583784537,0.8148735920141006,0.8148735920141006
0.1,0.6,12.510074,1.7195168,14.253700154999999,8.152126992573184,10.470506018433621,3.8805352178334953,0.6268665835628161,0.6268665835628161
0.15,0.4,9.548967,4.507296,13.461128023333332,6.7709651259260015,7.503586742091099,1.8702994601845737,0.7801253104856541,0.7801253104856541
0.1,0.4,12.815116,3.2388027,13.06650476875,2.5810739425205123,4.931419846157492,2.279567651561502,0.878188210451048,0.878188210451048
0.1,0.2,12.823741,3.4602036,12.564600256624999,2.0629406252338898,6.441389034836086,0.8111835147759827,0.8002894122952401,0.8002894122952401
0.3,0.8,12.615503,1.8605714,9.945110665791667,2.7662357176087413,4.080943687879621,0.9303448399969293,0.7649027294362167,0.7649027294362167
0.25,0.8,12.604877,3.626605,12.984657531083334,4.531910943260482,4.228191942953988,1.9642408524237394,0.931850330753986,0.931850330753986
0.3,0.8,8.823957,2.3001246,9.768369880833333,3.1622616546132902,1.9324508774625133,0.3512828321870079,0.9768474298709874,0.9768474298709874
0.4,0.8,11.971588,4.472023,9.059281019624999,1.875834871762387,2.0334476604330405,-1.3657690661781814,0.7244004825601106,0.7244004825601106
0.1,0.6,12.775433,3.3912187,13.773387103749998,8.062144125754577,6.142345962381711,1.9722547561683568,0.8527693022833397,0.8527693022833397
0.4,0.6,9.112175,3.907548,8.960797487208334,1.1054896519618391,6.849515513958711,0.4148560695007025,0.6808242085612538,0.6808242085612538
0.2,0.4,12.804172,3.0686135,10.739156168541667,2.3747403324594423,4.236312205434873,1.4155226052355285,0.900632448420526,0.900632448420526
0.25,0.2,12.510889,3.8106842,9.358677996875,1.112226885092634,5.141903740983426,1.5291637757517509,0.8329244346842458,0.8329244346842458
0.3,0.2,12.661626,3.5777802,9.009515220291666,0.8935447463767278,4.969020638391228,1.0738685695213355,0.7806565306754961,0.7806565306754961
0.4,0.2,9.014854,1.8393317,8.698209937833333,1.3054637256478347,7.545423374907283,1.002794047894802,0.3479512635963115,0.3479512635963115
