Comp,BID,SID,CID,rg,asph,acyl,anis,num dom,seg,avgsize,maxsize,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,eig10,n_eig,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9
0.1,0.2,0,0,12.22870131,61.1845127,30.77815609,0.212440519,2,48,176.0,297,0.000417959,0.001015602,0.001884722,0.00411541,0.00436804,0.007119942,0.008916548,0.010192273,0.010418039,0.012772689,2.09e-05,-5.202298102465323,0.4489256974446678,-0.04656837381978119,-0.0025022309345322756,0.30272249343996993,-0.5366687858686078,0.008794458765848407,-0.5348436985176579,0.013479395592696211,0.01804281941091292
0.1,0.2,0,1,10.90647253,45.30139278,22.15388716,0.18369597,1,25,375.0,375,0.000789379,0.001981449,0.002269534,0.003839978,0.004823157,0.00608584,0.007630253,0.00807784,0.008876902,0.012745575,3.95e-05,-5.202298102465329,0.4489256974447418,-0.046568373819710504,-0.0025022309346944887,0.3027224934399457,-0.5366687858686295,0.008794458765977581,-0.5348436985172289,0.013479395592336043,0.018042819410820397
0.1,0.2,0,2,11.59764937,51.39312267,27.23714797,0.188593097,2,36,182.0,338,0.00059568,0.001227407,0.001768564,0.003386579,0.004119516,0.005110349,0.005741503,0.007127448,0.008389601,0.012078491,2.98e-05,-5.202298102465329,0.44892569744469485,-0.04656837381970025,-0.002502230934693222,0.30272249343995195,-0.5366687858686395,0.008794458765975286,-0.5348436985172,0.013479395592379194,0.018042819410808437
0.1,0.2,0,3,16.04122871,155.1082984,63.08627057,0.407450986,4,105,73.75,143,0.000166273,0.000498952,0.002371646,0.003986605,0.005093708,0.005925387,0.007163547,0.00911271,0.01121654,0.012626725,8.31e-06,-5.202298102465329,0.4489256974446991,-0.04656837381969152,-0.0025022309346351833,0.30272249344001617,-0.5366687858685162,0.008794458766120648,-0.5348436985171959,0.013479395592224693,0.018042819410831072
0.1,0.2,0,4,15.31219259,139.6050663,62.68187928,0.410806129,6,108,48.66666667,116,0.00016974,0.00048723,0.002857318,0.003377361,0.005002952,0.006255911,0.006960758,0.009034842,0.012390692,0.014305746,8.49e-06,-5.202298102465329,0.4489256974447174,-0.04656837381969816,-0.0025022309346907448,0.30272249343998586,-0.5366687858686406,0.008794458765968037,-0.5348436985172,0.013479395592328521,0.018042819410897297
0.1,0.2,0,5,15.65125601,161.1462411,63.54775186,0.47490521,4,89,77.75,221,0.000176851,0.001569325,0.002284649,0.003212851,0.004630387,0.005688107,0.006289636,0.008814552,0.011561463,0.01463951,8.84e-06,-5.202298102465329,0.4489256974446813,-0.04656837381969721,-0.0025022309346388384,0.30272249344003843,-0.5366687858685772,0.008794458765952145,-0.5348436985171477,0.013479395592296856,0.018042819410834438
0.1,0.2,0,6,9.468240908,25.38679,13.80805503,0.108921989,1,25,375.0,375,0.001303759,0.002559789,0.003177673,0.004022671,0.005736273,0.006512912,0.007720686,0.00850955,0.010801464,0.014600095,6.52e-05,-5.202298102465329,0.4489256974447036,-0.046568373819705376,-0.0025022309346948673,0.30272249343995733,-0.5366687858686172,0.00879445876595423,-0.5348436985172277,0.013479395592380242,0.018042819410813486
0.1,0.2,0,7,11.21401784,51.00568049,25.58641963,0.207680578,1,25,375.0,375,0.000666961,0.001211185,0.002358758,0.00346861,0.00535758,0.006683703,0.008163101,0.010077683,0.011279105,0.014630196,3.33e-05,-5.202298102465329,0.4489256974446978,-0.04656837381971055,-0.0025022309346723667,0.30272249343997293,-0.5366687858686083,0.008794458765961183,-0.5348436985171995,0.01347939559238981,0.018042819410831485
0.1,0.2,0,8,11.50493364,55.22122404,29.13502746,0.224657983,1,25,375.0,375,0.000689949,0.001282052,0.003689681,0.004154828,0.005099179,0.008770209,0.00893259,0.009896409,0.012074839,0.013871844,3.45e-05,-5.202298102465329,0.4489256974446973,-0.04656837381970197,-0.0025022309346994886,0.30272249343996144,-0.5366687858686274,0.008794458765966861,-0.5348436985172487,0.013479395592359122,0.018042819410794723
0.1,0.2,0,9,13.8573095,119.6882259,46.59868331,0.425886124,2,73,163.5,221,0.000195578,0.002232925,0.002654401,0.003467609,0.004414331,0.006485655,0.00681033,0.009068337,0.009485663,0.013572693,9.78e-06,-5.202298102465329,0.4489256974447005,-0.04656837381970697,-0.002502230934691931,0.30272249343995655,-0.5366687858686313,0.008794458765970471,-0.5348436985172047,0.013479395592360912,0.018042819410809107
