Comp,BID,UMAP_0,UMAP_1,rg_mean_true,rg_mean_pred,rg_mean_std
0.15,0.8,11.250781,5.066471,12.877413799625002,12.34607248912871,0.6150210179582952
0.1,0.4,12.843269,2.8897893,13.541903345416666,13.393247046929474,0.4515770432767398
0.2,0.8,12.391927,4.286795,12.385136011458334,12.552580846966473,0.4898435702157211
0.1,0.6,12.510074,1.7195168,14.253700154999999,14.621886564319531,0.47210991239563627
0.15,0.4,9.548967,4.507296,13.461128023333332,11.632091142876497,0.5062717180726851
0.1,0.4,12.815116,3.2388027,13.06650476875,12.913206418158765,0.49789447087489414
0.1,0.2,12.823741,3.4602036,12.564600256624999,12.029067501609582,0.49438351257521146
0.3,0.8,12.615503,1.8605714,9.945110665791667,10.652245612055758,0.5002225616252577
0.25,0.8,12.604877,3.626605,12.984657531083334,11.331877649651998,0.4964649675571249
0.3,0.8,8.823957,2.3001246,9.768369880833333,10.245948261954073,0.518068288820149
0.4,0.8,11.971588,4.472023,9.059281019624999,9.180929559337327,0.5036233155414366
0.1,0.6,12.775433,3.3912187,13.773387103749998,13.598678657391327,0.4939368498930409
0.4,0.6,9.112175,3.907548,8.960797487208334,8.660931130409537,0.4671718534632354
0.2,0.4,12.804172,3.0686135,10.739156168541667,10.99574710260114,0.4879943663856464
0.25,0.2,12.510889,3.8106842,9.358677996875,9.808158279104852,0.5085197229009456
0.3,0.2,12.661626,3.5777802,9.009515220291666,9.256053748969151,0.49602192657155014
0.4,0.2,9.014854,1.8393317,8.698209937833333,8.382979883798695,0.46601850676589707
0.25,0.4,12.661251,2.9724195,10.153300917041667,10.126566292655063,0.4480884553526481
0.2,0.4,12.727208,3.5251265,11.32664951425,10.88065559520927,0.49247653759067195
0.3,0.2,8.91485,1.9550416,8.977580317,9.341500397004488,0.5288524682644278
0.2,0.2,12.850883,2.17777,10.586775476041668,10.818229692506456,0.43594187202323925
0.4,0.4,12.518609,3.7092886,8.766855305291667,8.405141564778765,0.5213043753916019
0.6,0.8,-9.095927,6.0823097,8.10124031025,7.837511255334171,0.42377755921043214
0.3,0.2,9.267267,3.9059856,9.305994999416667,9.30743677520006,0.577787314796396
0.4,0.2,9.174959,4.010139,8.381693003041667,8.522475659910825,0.6277784920419602
0.6,0.4,-10.098592,5.6313386,7.9472777446250005,7.763746258565211,0.5421958647966613
0.25,0.6,9.236001,4.17987,10.586904351125,10.475527517486075,0.5206842139225776
0.8,0.6,-9.727497,5.5686,7.302269657958334,7.322193540120869,0.6149487241449327
0.4,0.8,12.673968,3.5480525,9.041813788625001,9.029618212148593,0.498187850126784
0.1,0.6,11.153119,1.0440053,13.743113257916667,12.902436948081888,0.5772618119205281
0.25,0.8,11.122347,0.8110383,10.786617937291666,11.038326201094932,0.5322831799285653
0.2,0.8,12.783079,2.8358982,11.392291217291666,12.924017019186152,0.48547462918797946
0.25,0.8,12.557443,1.6359,10.490383790541667,11.95371761388399,0.49172038674300506
0.1,0.6,8.715085,2.4727352,13.343789847916668,13.09164618090038,0.5070387486687262
0.3,0.6,8.88002,1.9012154,9.316999816625,9.778995865513775,0.48372497359704913
0.25,0.6,10.458219,0.83255714,10.055452151958333,10.433407348925552,0.5665249337826466
0.1,0.6,9.413003,4.0365243,13.615528305416667,13.257876357734041,0.54398430433867
0.3,0.2,10.259621,4.8643694,8.993235109958333,9.085154729188314,0.6713142293701678
0.6,0.6,-8.830723,6.60014,7.892435803375,8.055805025487025,0.464361079336961
0.2,0.6,12.509481,1.8233383,10.706115529166667,11.818592352151294,0.5273867272670003
0.6,0.2,-10.878547,6.298003,7.9215765739999995,7.592436897252693,0.47442574851701236
0.1,0.8,11.846708,4.6497874,14.800565235,13.45738477920653,0.5858341783833154
0.6,0.2,-9.899957,5.604015,7.799853028458333,7.595361462156973,0.5929622483925957
0.6,0.6,-10.822648,6.1019096,7.610266122541667,7.854878535109233,0.4682710198980355
0.1,0.8,12.924609,2.7237582,14.829212176666667,15.014774544918644,0.4878958261921531
0.4,0.4,11.734237,4.8295884,8.716203674708334,8.61516092277373,0.65082830245761
0.8,0.8,-10.48183,7.4756484,7.2956869361250005,7.257897329623566,0.45813174986383604
0.8,0.6,-8.850601,6.552498,7.342435196125,7.525321818523063,0.4396078007741351
