,Sequence,Comp,BID,rg_mean,rg_var,asph_mean,asph_var,acyl_mean,acyl_var,anis_mean,anis_var
95,"0000111000001111000010000110000000000010000010000000001000001110001110001110000010000010000000100001100000000000001100000000000000001000011100000000011000000110010000100000010101000000000100000000000010000000000000000000000110000100000000000000000000100011010010000000000000110000110000000100000010001000011100011001000000000000000000011000000000101100001100000111000000000000011000000000001000011000
",0.2,0.4,10.750764316041668,2.3266798247037825,58.57465506916666,837.4883000500821,26.85516577458333,123.66385693378562,0.282372013875,0.010774242229410808
96,"0000111100010100001000010000001000000000000000001010000011000000000000000000000001000000100000000010000001000000000010000000000010010000000010111010000000000100010001000000001110000100100101101010000100000000000000000001000000000100000000100000000000000000010000010000000000010001000000000000001101000000000000000000011000000100100010000000000000000000000000000000000000001000100100000000001001100000
",0.15,0.2,11.865896730041667,2.5753826324362707,71.30219688916667,866.9866217571246,32.3539843975,138.24134801367575,0.28264096141666667,0.0074561456788596716
97,"0000111100111011100010000001000001000000001100000110000000011100000000000011000000000010000111100000000000001111100000000100110000011100000000000000011100010000111100000110000000000011000000000100100000010000000000100011111000000100000111000000000011000000000000000000010000011111100000000011110000000000011000011000000000011100000000000000000000000111000110000000100000000001110000000000001111100111
",0.25,0.6,9.8028812025,2.277441869700403,45.86558450416666,656.4342852629997,21.072714657125,99.39314781235623,0.24774377433333336,0.012370369785903144
98,"0000111110000100001100111000000000000000000000000000000000010000000000111000100000000000000111000000000000000000111000000001100001110000000000010000000000000000000010111100000000000011100000000111011000000111001100000000000000000000000010001000000110000001000000000000000001000000000000000000000000000001111100000000000011100000000000001110000000000000111110000000000010101111000000000000000011110011
",0.2,0.6,11.302820304791666,3.40236261483876,68.43197037208333,1451.0679184380026,30.62161652125,206.2377593360145,0.29842002166666665,0.014215061694793992
99,"0000111111111111100001111111110000001111111111111110001111111111111111111111111111111000000000000111111111111110000011111111111111111111111111111111111111100000010000001111111111111111000000001111111111100111111111111111111111111111111111110000000111111111111111111111100001111111111111111111100111111111111111011111111111111111111000111111111111111111111111111111111111111111111111100001111110001111
",0.8,0.8,7.445278551541667,0.2972772282182465,22.081134773749998,84.05650137471761,11.444988390041667,9.307802082534012,0.19898258208333333,0.008346160736216171
100,"0001000000000000000000000000010000010000001000101000000100000000100000001000000100100000000010000000000000000000000000000011000000000000000000000000000001100000000000000000000000000000010000000011001000000000000000100000000000000000001000000000000000100000000000000000011001000000000000100000000001000000000000000010000000000000000001000100000000001001100000000000000000000000000001000000000011100110
",0.1,0.2,12.761108458333332,2.0228119626722405,85.31533906666667,1075.4116274219061,37.7694098175,133.16985493368324,0.306676719125,0.009413835510673273
101,"0001000000000000000000000000011100000000011100001000000000000000000000000000000000000000000000000000000000000110011000001100000000100000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000001000001100000000100000000000011000000110000000001000000000000100000000000000000011000001001000000000000000000000000100000000000000010000000000011001110000000000000000000110000
",0.1,0.4,13.887283549166668,3.036785252834952,100.79318333958334,1491.3181680326409,45.2071928925,221.99603042931784,0.2978725460833333,0.007574981483133205
102,"0001000000000000000100000110000000000000000000000000000000000000001110010000011000111010000000000000000000001000000000000100000000000000000011000000111110000000000000010000010000001000000000100000000001011000000000000000100000000000000100000000100000000000000000001000000011001100000000010000100001111000000000000000000100000000000000100100000000111000000000000000110000111100000000010000000010001100
",0.15,0.4,11.961929261875,1.1718058623773602,75.48948183458333,391.0749469770928,33.31172607041667,55.52833916601652,0.32032800133333333,0.004870747070069483
103,"0001000000000110000000010011000000001100110000100000000001110000000000010001100000000011111111011001110000000000011101111110000010000000001101000001000000000000000000100000000000000000000010001001111100000000011001100011101100100000111110100000100000000100000000000000111110000011100000111111000000000000001100001001110000000110000001000000010000111000000010001011111000000111111111111100010100000001
",0.3,0.6,10.197409507541666,2.169548587249718,57.91222174208334,854.5832745037586,24.727852842083333,100.83113777204872,0.32628570579166666,0.0185932634524907
104,"0001000000100010010001010100000000011001010000010000000001001010010000001000010101000000100100100100001001000000100000011100100000011010010000000000000110001000001010001010000000010000000000100000010000101000000100110010010001000000010000100000111110101000000000000000000000000100010000001000010100111010000100100000100001011100100000010001100101001010000000000100100100001000001111000100110001101000
",0.25,0.2,9.958954706125,1.7467275308444774,48.14578196791667,533.0603920196928,21.969163870375,80.9358112539793,0.26180771383333334,0.009447730360909111
105,"0001000001100101001100100100000100010110010101100101010010010100100101010110010101000101010001101101000100101100110010110000000010010000111110101010010000100100001000001010010101010101001001010100100010010100011010110100001100101010011010100010100101010101111001100100010011001000100010000100001101010011000010010100101010010010100001001001001010110011011001001110010110010011010100001010101010101010
",0.4,0.2,8.597992537166666,1.1791336556258205,33.5990382175,362.1630146686476,15.565783225750002,47.70306248346383,0.23634487008333335,0.015181040962740526
106,"0001000001110000000000000111000000000111111000000000001110000001100111100000000000000010001110000011100001110000001100000010000000000000111001110000001111110000000000010110000110001000000000000000000111111000001000000010000000000000010000000000001100000000000111001111110000000011111000000010000000000000110000000010000000001000100000000000000011100000000000000000000000011100000100001100001111010101
",0.25,0.6,10.115446806416665,3.3866066133861366,51.95729408875,1068.1653969965064,24.000375502958335,190.5430550537184,0.26826594566666667,0.012729577666655438
107,"0001000001110000111000000000001000000000111011111000000111100001111100001000000000000111000000000000011111100011000101110000000000000110000000001110110100000000000000110000111100000000000000110110000000100000000000000000000010100000001100111111000010011010000110001111101111111100001000011111101000100000011000000000000100011100101110001000000000011100000000000000000001001000000000001100000011000011
",0.3,0.6,9.649136894166666,1.7125893057827155,44.32167831458333,540.3161685469148,20.451203796833333,75.21948036064963,0.2510587747083333,0.01001111664752338
108,"0001000010001100000000000011011001000000000000100010001100000000000000000011110000000000000010010000011001010000000010010010000000000000010010100000000001000000110000100000010100000010001000000010000100000000001110000100110000000000100000000010000100001100011000100010001000000010000000100000000000000000100000001001010000000100100010010000100000110100011000000001001010000000000001010000001001010100
",0.2,0.2,10.755236483875,1.177871097249828,58.04774148958333,472.61255968208326,25.956229383333334,64.46055452803273,0.28743866795833334,0.009422302597117406
109,"0001001000000010011100000000100010010011100011001001000010010101011000001100110000010100010011110000000011000001001000100001010110101010011000100101100100101000010001000000011110100010000001010010010001100101010010000001001000100000100010000001000001000100110001000000100001000010010001000100100110100100010001011001000010000000100100010010000100000010000000000000101000001010100101010010011011010000
",0.3,0.2,9.009515220291666,0.8935447463767278,35.761649828833335,244.4222411669728,16.804820141791666,30.540090555697926,0.22778007308333334,0.009882666921452178
110,"0001001000010001100011111100001111111111011111111100110000111100110011111111000111111111111111100011110010110001000111100111001111111111110111111111111011110111100001000110110111110011110101000110111111111100000111111111000110000110000000010000000000010111101111100011111001100101011010000011111011011110010111011011111111001101001110001111111111001100011100000000000111010011101100100001101111110111
",0.6,0.6,8.000882802208332,0.9089024887195373,32.086383505,249.26240264613503,13.514454910083332,31.5790104480777,0.2780280499166667,0.016890109383876667
111,"0001001100100000111000000110100011000001000000000000000000000000011000101100001100010001110000000000000010111100000000110011000000000000000001001010110000010001100110000000000000000100000001001011000000001100000000000011100011000000000000000001100000000000000100010000000000001000000000001100000001011000000001100010000000000000100100000000000000011000000000000000001110001100000000000110001000000000
",0.2,0.4,10.83226596075,1.826301592968451,57.9305341575,687.090426225241,26.41315474275,96.31813257695376,0.27204044241666664,0.010297591420523554
112,"0001010001001100110000001010001011000000011000101001001010000100010010001000001001010001001101000101011000011101000001000010110000101100000100010000001101000000000000100001010100100000000101000010011000010001000000100000000101100011011100100001001001010000100000100000010101001000101000001101110001011100000000000011010010000100110001010000101001001010000001010000000101001001001100100100101000000010
",0.3,0.2,9.059048832791666,1.0954499077500384,36.17318597166667,310.4580549811822,17.031953004375,39.47270591720123,0.2235798925,0.009441262880994249
113,"0001010100000011000100010100010010000001000000010100000000100000000110001001000011101100100000000010100000000100100010000000001010000000010010010000011001010100010000100111001000110101001000000001000100000000110100100000010000000010001001001000000010000000000100010110001100110001100000000000011010100001010001001101001001100100000010000000011000000100011000000110101000000101000100000000000000000100
",0.25,0.2,10.030720859208333,2.1632361740546133,50.22684612916667,762.2092999262213,22.88268573666667,109.39823499843178,0.269623762125,0.013948218169189805
114,"0001010100000100100100100100011101101000000101010101101001101100100001010101101101010101010101000101001110010010010010001011010101100101010100110110000101010000110100101100010001001000101010100010100010100010101001000010110010110010101000010010101010000111001110100010001100010100100100010100101101101101001000101100100001011000101010001001010001100100100101001101110100100000000010000010010101010010
",0.4,0.2,8.698209937833333,1.3054637256478347,35.87635632291667,372.26092268049695,16.200216800375,49.94897726585347,0.24967837095833334,0.015054975108815183
115,"0001011001101001101100110001110001101011111110100101100001101110111011110101100111010101110101111111001000010011110100110000111110111011010011111011011000000110001100110011011011101101111011111010100101110011011011111110111110111010110111110110111011100110100111111111001011111111011111101101011011011000000001001100011111011011111100100000011111000100101101111010110110110101101010100011110100001100
",0.6,0.4,7.773561403374999,0.21184822233807615,26.240497153166668,73.36032005886028,12.427135780708333,6.376017862864122,0.23322789879166664,0.00872275362387948
116,"0001011011001100000000001000001100010101000000001110111000001000000010110001000000000000000011000000000010011000010000001011000010011001100001000010111000000001100010000100100011111001100001100100000001000000001111000010001110000011110000100101000000000000000000001000000000000001000111000100000000010010000100000100100000000000110000000000000000111110000000000000011000001000000001000100001100001000
",0.25,0.4,10.153300917041667,2.5023037166315403,54.891704697499996,762.2522277144227,24.069332016791666,105.59622804349925,0.30022004325,0.014466747240111754
117,"0001100000000000000000000000000000000000000000000000001000000000000001010000000001001100000000001000000000000000000000101010011010110100000000100000001000000000001001000000001101000000100010010000000000000100000000110000000010001000000000000000010001100100000000000000000000000001100000000010000100000000010100100010000011000100000000000011100100100000100000001101000001000000000000000000100010000000
",0.15,0.2,10.922809699708333,0.983255241032064,55.64033719166667,339.2386667201136,25.44755984041667,43.273992658043724,0.254402646375,0.006195421199754974
118,"0001100000110000000110000000011100001000011011110000000000000000100000000010100000010000000000110001000000011000000000010000000000001100000000000000001111001000010010001000000000000000000000000000000000001100010001000000000000000100000000000100000001100000011101010000000000000100000000011000001100000000001010000000011110100000000000001001100000001110011001001000000001010000000001110000000010001110
",0.2,0.4,11.32664951425,5.283725927141359,72.56888126,2482.4981646429574,31.226398649999997,332.44566663562074,0.303894988625,0.021360890166413796
119,"0001100101000100001010011010011100000010010001011000100101011010101100001100100000101000010100100000000000000010000100110000010010010010000100001101010100000100000000100010100010001011000000101010100000001001000100001010000001000101010000100001000000001100000001010011010010001001100000101001001010001010101110100000000011100000110100000001010010100100111001000011100000100001100000101000010001000000
",0.3,0.2,9.44653665975,1.1473124306295044,43.63083654541666,402.15808528001196,19.58622093875,52.8132006535644,0.27072621308333333,0.009134373785448022
120,"0001100101001001010000001101010100001011000100010000000010000011000000000100101010000000000011000101010001010001010001100010001001010100010110000010000011000010001100000010101001001000000011000000001100101000011010000000001000010101110011100010000001100010001110010100010001001000010000010010000000100110000000010010100000101000101100100010110100001010100100101000001000000000010100001010100111010100
",0.3,0.2,9.366598258041668,0.9428564949387193,42.12839228291667,316.63833331533147,18.791109302041665,34.90439190966402,0.26489974604166666,0.011612453154897801
121,"0001100101010001000100001000100000000000101000010000001011010011101100011110000000100000010000100000000100000001101000010000010100010100010001000100000000000001000000010010100011000010010001000001000000010000000000100000010010000000001000000010000001011000100000110110000001010010101000000100100100000000000100000000000001110100100100100110010100100000011100000010101010000000000100000101000100101110
",0.25,0.2,10.09814288,1.508743325397316,49.66629613958333,527.9447128889987,22.48394938375,64.95531780355824,0.26569147158333334,0.010554553259040932
122,"0001110000001111010000011100111111011001111101010111011010111010100011101101110101111100011101100110101011111101011111011010111011011011011111010100110100110100101100011001011100100111001000110110001000111110100110111111100110011111000101110001111010101000011111101100101011011111001100111101110010001011011101101110011111101110001111111111011100010110101011111100011110110000100101111011110011011000
",0.6,0.4,7.811394483375,0.6786125539486919,26.95610613575,225.29196563876627,12.868713491958333,25.214493842918085,0.22982389574999998,0.014139464416177683
123,"0001111000000000000000000000000000110000000011111000100000000000000000000000000000111111110000001000000000000000000000000000000000000000000000111111110001111100000100000000000000000000000000000000001000000000000000000000000000000000000000110000000000000111111110000111111000000000000000111111111111111111110000000000001110111111000001110011111100000111000000000000000000111111000000000000000000000001
",0.25,0.8,11.17964883375,5.25792919693243,71.58887027583333,2279.282021118215,29.869164310958336,306.58796660050996,0.310643196625,0.02537369124189549
124,"0001111101110011111111111111110011000011000011011101111111111011111111101101111110101111111111111101111111000000011111111111111111100110011111110111111010111001111111111110111110111111111111111011111011111110011001111111111111011111111111111111100100011111011111111011111111111001100011111111011110111111111111111011011111111111001101110011111111111111111110011111110111101101111111101011111110011110
",0.8,0.4,7.8037805315,0.971713823878489,27.135215930833336,251.17904144427433,13.0592729245,33.72945458474144,0.22839200608333332,0.016217733428698842
125,"0001111111111111111111111110011111111111111111111111110001111111111111111111111111100000001111111111111100001111111110000000000001111111111111111111111111111111111100000000011111111111111111111111000000111111111111111111111111111111111111111110000111111100000000101111111111111111111111111111111111111111111111111000000111000000011111111101111111111001111100011111111111111111111111111111111111110011
",0.8,0.8,7.389471247375,0.4491045002244465,21.60765663691667,134.78070829760784,10.65709956875,17.202598469449665,0.19134561491666666,0.013528420281834213
126,"0010000000000000000100001000000010000000000000100000100000000000000000000000010000001000000100000000011100000000000001111000000000000100000000000000000000000000011100111101000000000000000000100011100001010000000000000000010000000011101010000011000000000000000000000001000000000000000000000000000000000100110000010000000000100000000010000000001110000001110000000000110000000000000000001000001000111100
",0.15,0.4,12.067639110833333,3.000931452591715,76.2256644325,1056.0905943086589,34.66829014208333,184.97688120637523,0.29948868825,0.005816169245243979
127,"0010000000000001001000000000101110110001101101000010010011000010000000100001000010000111110001001100010000100001010000011000000111000111001000111101000000011000011100001011111010010110011010111010100011011111001001010001110110100000110110101001011010101000001111000101000100000100110111101001000110100101011010110000101001000000100110110010011000100001101000000001110100001110111010110001110101001010
",0.4,0.4,8.234158949375,0.783783266753204,27.957744995583337,179.2470419374615,13.163014134374999,31.8845805049566,0.201503613625,0.009226275786498624
128,"0010000010000000000000010000000000000000000100000010010000000110011000100000000000000000000010000001110000100001000000010000100000000110000000001100010010100000000000000000000000000000000010000000000000000001100000000000010100010000000100000000000000000000100000000000000001101110000100010000100000000000100000000000001011100000000001000000100000100010001010000100000000001001001000000100000100100000
",0.15,0.2,11.494544672375,3.5481866008157117,69.66348220541666,1694.6824188533435,30.939750962083334,221.64381968707204,0.28785288029166667,0.018592500692606217
129,"0010000100101110100000010000010001001000010000001010000000001010010001000000101000000000000100000100000100100011100100010010010000000001000001000010010000010000001010000000001100100000001000100000001100000010001001001011000000101111000000000010010010000000101000000001000001000100001100000100001011110000000101001010010011100110100100001100010001000100000000000010000000010110010010001001000001101000
",0.25,0.2,9.598424178375,1.0937020098694397,42.65855069958334,323.4827045925477,19.90264291975,49.07631074675667,0.24958798920833333,0.010605153635233707
130,"0010000111011000101000100001001100111110001111001000000110000000000010001010111000001011000100011001111001101000000011101100000101101100000001000010010111000111100101001110010000100100101011001101000101100010011001010110111000000101001111001010100000000011010100101010000101101011110100100001110110000100000000010010001000011101110001010010110001000010000001110000100111101010100100110111000001101010
",0.4,0.4,8.129487478,0.6800346400631304,27.20353122825,225.2287935522858,13.004786648416667,23.429007907172302,0.2041619382083333,0.014323349367304464
131,"0010001010010110110011001000100100010001001010100101000001010100001010101000100010010101101110010100010001011011001010010000010110001100110000010000011101001011000101011010100100100010010010010100101001010010000000101001001111000100110010100100101010101011100000101010100100100000101011001010010101001010100100011010101100010100100001100100000101010010110010110110101001001001010101010011001111001010
",0.4,0.2,8.250181313333334,0.6429417720423437,27.16405578475,163.88580987070773,13.397756268708333,27.91406567420619,0.1918149205,0.007441380586628644
132,"0010001101100011010010001010100101001110101110011000000010010000101000100101001010100001010000110001010010010100100010110100000110100110000010101010100100110010010010101010101010010110001010010100010101100000101010101010101011010101001000101101100011010110010000011001010010000101001001100010000010100100110011010011010000101001011000101011101010100101010101010100001000011100010001011001010000100110
",0.4,0.2,8.799815198083333,0.944549265994149,36.668588372500004,301.1032936238047,16.670647108,38.01625945458201,0.2590743529583333,0.014036988897151026
133,"0010010000000000001111100000101000000000001110000001111111110000000100000000111100000001000010000111111111110000011000000000001000000000000111001100111111001100000000000000000000001100000111001000110011110101110110110000000010000011110010000000001000000000001111000000000011110000000000001100110000100000000000000010010000000000000000000111000000000110000001001111001010001110010000000111011000000011
",0.3,0.6,9.994092540583333,2.8564254451775066,52.39409921083333,1064.481587378589,23.36562017458333,160.8406695878025,0.28876881220833334,0.017193909366476107
134,"0010010101000010000010110000100101000000000010101010110010110000000000000000010100011000110000010000000000000100100100000000000010000000000000000101000000000001110000000000000010000000000000100011001100110010000010000000000000001000000000000101000001000000010001000001000000111100010100000010001010010000000000001000000100000100100100000001001100000100000000100000000000110100000010000110000000001000
",0.2,0.2,10.700879437041666,1.6901502145992826,57.067818226250004,661.1608893304066,26.14823311875,94.64111565674266,0.27744469408333333,0.011165116285529459
135,"0010011001110101100010101001101010010111010101010010110110001010100010001010110000100101011011010101000101001101010001101010101001010001001101100101010010100000000101010000001010000011101001010101001001001010010001011010101001100101010001010010010011010111001001100100011010001001010000011010100100010000000011001010001011001010101000110000000110100001001100001010100010001010010101001010000110101000
",0.4,0.2,8.62925691925,0.879074368092234,32.55925871666667,277.0288150303722,15.224294958291667,39.45094496660908,0.22387458233333335,0.01321618662960514
136,"0010100010000010100000010101000100001111000100000000010000001000100000001011000001011000011010000001000000000000011000001111001011000101000001010000100101011010111000000000000000000000001010100000000001101000100100000000000000110100000000100100001100010000100000100000000101010011001000000100000110100000100000001001000100010100001001100000010000010101000000100101000100101000010010000000100000100000
",0.25,0.2,9.858484013208333,1.0789596083340296,45.3238166175,277.91499423001835,20.881872020583334,41.394340219768836,0.252277384,0.006196470613839797
137,"0010100010010000010010101010101000000000000011000100101001000100001010010000010100100010100000100010010011100011101010100001000000011000000010010010100101010100011000000001000101100100001001101000000010000110010100000101101000010110000000000010000000000101000100001100101011000010011000000001010100000000000101110110010001001010001011000101001101100100000000010001000111001001000001000100001100001000
",0.3,0.2,8.977580317,1.012414408721809,36.11040485791667,292.9999612715755,16.54181462475,36.458822896962396,0.23115619525,0.011266038681063068
138,"0010100011010100000010001000000010001000001100010001000001001110000100101010100010011101000000000000100010001011000110100010000110100011100100000000110110010000101010011000011001000010000000001000001001001000100000010001000000100001010100000100101000010000000100011010010110011010001001100010101101001001000101001000100110010010010010000000000010100101100100001000010001011011000000001000010000001010
",0.3,0.2,9.497214429375001,1.4812901277269908,42.68666075875,469.0161117556357,19.122945927583334,58.30710930176116,0.24808346070833331,0.009999335922533383
139,"0010100011111000000000100001010000000000100000000000010001000000000000000010000000000000000000010001100100000001000110000100110000000010010100010000011100000000000101000000100000000000010100001010000010001000001011011000010000000011000000000100010100100000001000010001010001010110000000010000001000000000000001001100001010000001000001001000000000001010001100001000000001100010000001000000000000001000
",0.2,0.2,10.586775476041668,3.3412389547144477,55.717272285,1069.8672006937577,25.502511032541666,187.32141952840672,0.258470344375,0.011541483358031271
140,"0010100110110100000100010010010101000101100101001011001000011010010010011010101100100100010010101010010001010101010100101101001010010001010101010101000010011010101000010100100101010010110101010010110110010001000001011000000010000101100100010001010110001000100010001001101001010111001010011100100000001011101011000000000010101101101010110010110100101100101001101001010000011010100110000100001011001010
",0.4,0.2,8.330685215708334,0.5127854794367742,29.517993252916668,176.73013989142157,14.162448858333333,20.986808139780504,0.22017138904166667,0.012329412135986728
